id,a,b,c,d,e,f,g,h,sex,age,region,l,job_title,education,marriage,children,property,r,employment_status,t,u,v,w,x
8774,0.0535777777777777,0.0535777777777777,0.0,249.0,0.5533333333333333,0.5533333333333333,13,1.99,Woman,62.91666666666666,e,90,Pensioner,Secondary education (plus special education),Divorced/widow,0 Zero,property,No,No couple,Yes,Yes,No,Yes,No
56940,0.026725,0.026725,11.26,213.73,0.2671624999999999,0.2671624999999999,10,0.0,Man,25.33333333333333,g,21,NE employee,Secondary education (plus special education),Married,3 Three,property,No,Unemployed,No,Yes,No,Yes,No
3946,0.0716111111111111,0.0716111111111111,25.66,230.36,0.639888888888889,0.639888888888889,13,3.5,Woman,53.833333333333336,f,408,NE employee,Higher education (one or more),Married,0 Zero,property,No,Works,Yes,Yes,No,No,No
47117,0.1032133333333333,0.1032133333333333,0.0,1599.0,1.066,1.066,13,1.99,Man,39.0,e,12,Head/Deputy head (organiz.),Higher education (one or more),Married,1 One,otherwise,Yes,Unemployed,Yes,Yes,No,Yes,Yes
84368,0.1983272727272727,0.1983272727272727,34.45,654.55,0.5950454545454545,0.5950454545454545,3,0.0,Woman,41.25,b,54,NE employee,Higher education (one or more),Single/unmarried,2 Two,property,No,No couple,Yes,Yes,Yes,Yes,Yes
15842,0.09934,0.058435294117647,0.0,1026.0,1.026,0.6035294117647059,13,1.99,Man,51.25,a,18,NE employee,Higher education (one or more),Married,0 Zero,property,No,Works,No,Yes,Yes,Yes,No
21106,0.0396976744186046,0.02276,4.52,85.38,0.1985581395348837,0.11384,5,0.0,Man,32.333333333333336,c,48,NE employee,Secondary education (plus special education),Married,1 One,property,No,Works,Yes,Yes,No,No,No
79577,0.09024,0.0644571428571428,0.0,699.0,0.932,0.6657142857142857,13,1.99,Woman,54.5,d,28,NE employee,Secondary education (plus special education),Married,0 Zero,property,No,Pensioner,Yes,Yes,No,No,Yes
80044,0.04499,0.04499,56.22,224.98,0.2249799999999999,0.2249799999999999,5,0.0,Man,28.08333333333333,e,12,NE employee,Incomplete higher education,Single/unmarried,0 Zero,property,No,No couple,No,Yes,No,Yes,Yes
70947,0.0440941176470588,0.0299839999999999,37.49,112.51,0.1323647058823529,0.090008,3,0.0,Woman,54.833333333333336,d,60,Head/Deputy head (organiz.),Higher education (one or more),Married,0 Zero,property,No,Pensioner,No,No,No,Yes,No
43652,0.1399777777777777,0.0466592592592592,9.96,189.04,0.4200888888888888,0.1400296296296296,3,0.0,Woman,36.5,e,24,NE employee,Secondary education (plus special education),Married,1 One,property,No,Works,No,No,No,No,No
74155,0.0642,0.0321,8.47,160.53,0.32106,0.16053,5,0.0,Woman,48.75,e,336,NE employee,Secondary education (plus special education),Married,1 One,property,No,Works,Yes,No,No,Yes,No
77078,0.0427538461538461,0.0264666666666666,31.96,287.04,0.4416,0.2733714285714286,13,1.99,Man,39.16666666666666,g,121,NE employee,Secondary education (plus special education),Married,1 One,property,No,Works,Yes,Yes,Yes,Yes,No
23693,0.1186428571428571,0.0593214285714285,95.26,857.74,1.225342857142857,0.6126714285714285,13,1.99,Woman,55.583333333333336,b,117,NE employee,Secondary education (plus special education),Married,0 Zero,property,No,Works,Yes,Yes,No,Yes,No
63284,0.2378695652173913,0.1189347826086956,115.0,2184.0,4.747826086956522,2.373913043478261,20,0.01,Man,29.916666666666668,g,108,NE employee,Secondary education (plus special education),Married,1 One,property,No,Works,Yes,Yes,No,No,Yes
11602,0.2372,0.109476923076923,7.49,142.41,0.4747,0.2190923076923077,2,0.0,Woman,42.66666666666666,g,3,NE employee,Secondary education (plus special education),Married,2 Two,property,No,Works,Yes,Yes,No,No,No
3122,0.0521894736842105,0.0521894736842105,56.93,512.07,0.539021052631579,0.539021052631579,13,1.99,Man,33.75,f,24,Head/Deputy head (division),Higher education (one or more),Married,0 Zero,property,No,Unemployed,Yes,No,No,No,No
2111,0.11312,0.0707,0.0,555.5,1.111,0.694375,13,2.49,Woman,43.833333333333336,c,228,NE employee,Higher education (one or more),Married,3 Three,property,No,Works,Yes,No,No,Yes,No
17416,0.2375142857142857,0.2375142857142857,87.46,1662.53,2.375042857142857,2.375042857142857,10,0.0,Woman,27.25,e,48,NE employee,Higher education (one or more),Single/unmarried,0 Zero,property,No,No couple,No,Yes,No,No,Yes
64710,0.22655,0.1192368421052631,339.77,1359.23,2.2653833333333333,1.1923070175438597,10,0.0,Woman,25.0,a,36,Head/Deputy head (division),Higher education (one or more),Married,0 Zero,property,No,Works,No,Yes,No,No,No
77667,0.1547888888888889,0.111448,22.0,418.0,0.4644444444444444,0.3344,3,0.0,Man,33.5,f,39,NE employee,Higher education (one or more),Married,2 Two,property,No,Works,Yes,Yes,No,Yes,Yes
24501,0.3562181818181818,0.1865904761904761,51.57,979.63,1.7811454545454546,0.9329809523809524,5,0.0,Man,26.58333333333333,a,41,NE employee,Secondary education (plus special education),Married,0 Zero,property,No,Works,Yes,Yes,No,No,No
7859,0.2648,0.2648,33.43,635.57,1.0592833333333334,1.0592833333333334,4,0.0,Woman,50.583333333333336,b,276,NE employee,Secondary education (plus special education),Single/unmarried,0 Zero,property,Yes,No couple,Yes,Yes,No,No,No
75996,0.0826571428571428,0.0826571428571428,30.47,578.53,0.8264714285714285,0.8264714285714285,10,0.0,Woman,37.66666666666666,e,27,NE employee,Secondary education (plus special education),Single/unmarried,1 One,property,No,No couple,Yes,Yes,No,Yes,Yes
16446,0.0225166666666666,0.0225166666666666,15.51,139.49,0.2324833333333333,0.2324833333333333,13,1.99,Woman,54.5,c,24,NE employee,Secondary education (plus special education),Single/unmarried,1 One,property,No,No couple,Yes,No,Yes,Yes,No
